Cluster,Customers,Med_Recency,Med_Frequency,Med_Monetary,Pct_Customers,Pct_Revenue
0,1973,402.0,1.0,273.3,33.6,3.6
1,1250,24.0,3.0,734.1,21.3,6.2
2,1196,17.0,13.0,4986.1,20.3,73.9
3,1459,186.0,4.0,1450.0,24.8,16.4
